Weight,Length1,Length2,Length3,Height,Width,Species
273,23,25,28,11.088,4.144,Parkki
300,24,26,29,11.368,4.234,Parkki
5.9,7.5,8.4,8.8,2.112,1.408,Perch
32,12.5,13.7,14.7,3.528,1.9992,Perch
40,13.8,15,16,3.824,2.432,Perch
51.5,15,16.2,17.2,4.5924,2.6316,Perch
70,15.7,17.4,18.5,4.588,2.9415,Perch
100,16.2,18,19.2,5.2224,3.3216,Perch
78,16.8,18.7,19.4,5.1992,3.1234,Perch
80,17.2,19,20.2,5.6358,3.0502,Perch
85,17.8,19.6,20.8,5.1376,3.0368,Perch
85,18.2,20,21,5.082,2.772,Perch
110,19,21,22.5,5.6925,3.555,Perch
115,19,21,22.5,5.9175,3.3075,Perch
125,19,21,22.5,5.6925,3.6675,Perch
130,19.3,21.3,22.8,6.384,3.534,Perch
120,20,22,23.5,6.11,3.4075,Perch
120,20,22,23.5,5.64,3.525,Perch
130,20,22,23.5,6.11,3.525,Perch
135,20,22,23.5,5.875,3.525,Perch
110,20,22,23.5,5.5225,3.995,Perch
130,20.5,22.5,24,5.856,3.624,Perch
150,20.5,22.5,24,6.792,3.624,Perch
145,20.7,22.7,24.2,5.9532,3.63,Perch
150,21,23,24.5,5.2185,3.626,Perch
170,21.5,23.5,25,6.275,3.725,Perch
225,22,24,25.5,7.293,3.723,Perch
145,22,24,25.5,6.375,3.825,Perch
188,22.6,24.6,26.2,6.7334,4.1658,Perch
180,23,25,26.5,6.4395,3.6835,Perch
197,23.5,25.6,27,6.561,4.239,Perch
218,25,26.5,28,7.168,4.144,Perch
300,25.2,27.3,28.7,8.323,5.1373,Perch
260,25.4,27.5,28.9,7.1672,4.335,Perch
265,25.4,27.5,28.9,7.0516,4.335,Perch
250,25.4,27.5,28.9,7.2828,4.5662,Perch
250,25.9,28,29.4,7.8204,4.2042,Perch
300,26.9,28.7,30.1,7.5852,4.6354,Perch
320,27.8,30,31.6,7.6156,4.7716,Perch
514,30.5,32.8,34,10.03,6.018,Perch
556,32,34.5,36.5,10.2565,6.3875,Perch
840,32.5,35,37.3,11.4884,7.7957,Perch
685,34,36.5,39,10.881,6.864,Perch
700,34,36,38.3,10.6091,6.7408,Perch
700,34.5,37,39.4,10.835,6.2646,Perch
690,34.6,37,39.3,10.5717,6.3666,Perch
900,36.5,39,41.4,11.1366,7.4934,Perch
650,36.5,39,41.4,11.1366,6.003,Perch
820,36.6,39,41.3,12.4313,7.3514,Perch
850,36.9,40,42.3,11.9286,7.1064,Perch
900,37,40,42.5,11.73,7.225,Perch
1015,37,40,42.4,12.3808,7.4624,Perch
820,37.1,40,42.5,11.135,6.63,Perch
1100,39,42,44.6,12.8002,6.8684,Perch
1000,39.8,43,45.2,11.9328,7.2772,Perch
1100,40.1,43,45.5,12.5125,7.4165,Perch
1000,40.2,43.5,46,12.604,8.142,Perch
1000,41.1,44,46.6,12.4888,7.5958,Perch
200,30,32.3,34.8,5.568,3.3756,Pike
300,31.7,34,37.8,5.7078,4.158,Pike
300,32.7,35,38.8,5.9364,4.3844,Pike
300,34.8,37.3,39.8,6.2884,4.0198,Pike
430,35.5,38,40.5,7.29,4.5765,Pike
345,36,38.5,41,6.396,3.977,Pike
456,40,42.5,45.5,7.28,4.3225,Pike
510,40,42.5,45.5,6.825,4.459,Pike
540,40.1,43,45.8,7.786,5.1296,Pike
500,42,45,48,6.96,4.896,Pike
567,43.2,46,48.7,7.792,4.87,Pike
770,44.8,48,51.2,7.68,5.376,Pike
950,48.3,51.7,55.1,8.9262,6.1712,Pike
1250,52,56,59.7,10.6863,6.9849,Pike
1600,56,60,64,9.6,6.144,Pike
1550,56,60,64,9.6,6.144,Pike
1650,59,63.4,68,10.812,7.48,Pike
6.7,9.3,9.8,10.8,1.7388,1.0476,Smelt
7.5,10,10.5,11.6,1.972,1.16,Smelt
7,10.1,10.6,11.6,1.7284,1.1484,Smelt
9.7,10.4,11,12,2.196,1.38,Smelt
9.8,10.7,11.2,12.4,2.0832,1.2772,Smelt
8.7,10.8,11.3,12.6,1.9782,1.2852,Smelt
10,11.3,11.8,13.1,2.2139,1.2838,Smelt
9.9,11.3,11.8,13.1,2.2139,1.1659,Smelt
9.8,11.4,12,13.2,2.2044,1.1484,Smelt
12.2,11.5,12.2,13.4,2.0904,1.3936,Smelt
13.4,11.7,12.4,13.5,2.43,1.269,Smelt
12.2,12.1,13,13.8,2.277,1.2558,Smelt
19.7,13.2,14.3,15.2,2.8728,2.0672,Smelt
19.9,13.8,15,16.2,2.9322,1.8792,Smelt
11,11.1,12.3,15.3,2.4658,2.1295,Smelt
20,12.2,10.9,15,2.2961,2.8271,Smelt
7,11.7,13.9,12.7,1.7064,2.016,Smelt
12,9.9,15,15.4,2.394,2.6746,Smelt
15,12,13.7,15,1.2649,2.5609,Smelt
9,9.4,13.7,10.1,2.7221,2.7006,Smelt
10,10.1,14.5,11.6,2.8487,2.253,Smelt
14,14,10.9,11.4,1.4599,2.5505,Smelt
14,13.9,12.8,11.4,1.7704,2.0038,Smelt
18,9.3,9.7,12.9,1.0466,2.8673,Smelt
18,11.9,11.7,14.8,2.258,2.7937,Smelt
7,13.3,10.5,15.1,1.7767,2.2419,Smelt
15,9.8,10,10.8,1.4089,2.6813,Smelt
18,10.5,14.8,10.8,1.3643,2.1955,Smelt
12,13.8,9.9,11.3,1.1952,2.4652,Smelt
18,9.2,9.7,13.5,2.9203,2.05,Smelt
12,9.5,11.9,14.9,2.5143,2.3102,Smelt
20,10.8,11.3,15.8,1.5934,2.2455,Smelt
8,13.9,12.3,15.2,2.8496,2.7742,Smelt
16,11.1,10.7,11.8,1.1829,2.8709,Smelt
10,12.5,13.5,12,2.9279,2.5572,Smelt
14,13.6,14.4,15.2,1.6313,2.0047,Smelt
19,12.9,12.5,14.6,2.7577,2.5643,Smelt
13,9.2,12.4,10.9,1.3081,2.5074,Smelt
8,9.6,13.7,11.2,2.4397,2.3716,Smelt
12,12.4,11.2,13.2,2.9272,2.8661,Smelt
7,10,12.9,11.5,1.294,2.0164,Smelt
6,13.8,15,12.3,1.5038,2.5004,Smelt
10,13.7,11,10.5,2.2304,2.6024,Smelt
15,10.5,14.7,13,2.5911,2.8188,Smelt
18,12,10,14.4,1.7501,2.6224,Smelt
6,9.9,14,10.4,2.6232,2.3948,Smelt
9,13.2,13.2,12.1,2.0804,2.6837,Smelt
10,9.3,13.1,11.1,2.6618,2.4412,Smelt
13,13,11.4,15.7,1.4752,2.8106,Smelt
15,9,14.3,13.5,2.3428,2.3349,Smelt
17,10.3,12.8,10.5,2.1919,2.3629,Smelt
16,13.6,14.6,13.4,1.3517,2.5765,Smelt
13,10.7,12.8,12.4,1.957,2.1797,Smelt
19,13.1,9.9,12.7,2.0394,2.4662,Smelt
14,12.8,12.5,11.9,2.4846,2.2935,Smelt
7,10.8,12.1,12.5,1.5167,2.678,Smelt
7,11.7,11.6,13.7,2.8045,2.5803,Smelt
16,11.4,13.6,10.5,1.2135,2.9547,Smelt
7,12.3,9.8,15.4,1.9969,2.7828,Smelt
7,11.6,14.3,13.7,1.9166,2.4757,Smelt
12,12.1,12.8,13.8,1.4441,2.0824,Smelt
15,13.2,10.9,12.8,2.0482,2.6497,Smelt
6,11,13.8,12.4,1.5883,2.8031,Smelt
20,13.8,9,12.6,1.3076,2.5771,Smelt
16,9.4,13.8,13.3,1.7461,2.2315,Smelt
14,13.7,10.1,10.9,1.8243,2.6273,Smelt
13,9.4,14.9,15.7,1.243,2.8043,Smelt
10,10.3,10.3,13.5,2.3502,2.8375,Smelt
16,12.2,14.7,15.1,2.517,2.9214,Smelt
19,12,10.3,15.4,1.8222,2.9895,Smelt
16,12.8,10.6,10.8,1.7803,2.6122,Smelt
7,11.2,9.4,10.4,1.9027,2.416,Smelt
20,12.7,13.6,13.8,1.2619,2.7216,Smelt
11,13.5,9.2,12.5,2.561,2.4287,Smelt
18,12.2,9.1,12.1,1.2904,2.5423,Smelt
13,13.1,9.6,11.8,1.7759,2.7096,Smelt
20,13.3,15,15.4,2.9479,2.8394,Smelt
6,10,9.8,14.7,2.8103,2.3525,Smelt
9,9.1,11.1,13.6,2.9489,2.1958,Smelt
17,11.2,13.3,14.3,1.8834,2.5622,Smelt
13,11.9,13.6,11,1.974,2.337,Smelt
13,11,13.1,14.6,2.9139,2.177,Smelt
6,9.5,10.8,11.1,2.5348,2.4951,Smelt
18,12.6,14.7,10.5,2.9885,2.1968,Smelt
6,9.1,14.1,13,1.6781,2.398,Smelt
13,11.8,10.5,11.3,2.3223,2.1416,Smelt
8,11.5,12.5,10.2,2.4259,2.2961,Smelt
20,9.6,13.4,11.8,2.6749,2.0262,Smelt
12,11.6,15,14.8,1.3532,2.5331,Smelt
19,13,12.1,12,1.6308,2.7276,Smelt
20,13.1,11.6,11.1,1.0479,2.8946,Smelt
19,12.4,10.4,14.7,2.1679,2.5572,Smelt
10,13.1,13.2,13.5,1.9144,2.1533,Smelt
19,13.7,9.8,10.3,1.9532,2.424,Smelt
14,10.9,15,13.2,2.903,2.6309,Smelt
16,10.4,11,14.8,1.057,2.1402,Smelt
14,13.4,13.1,10.6,1.6281,2.8177,Smelt
8,13.4,12.3,12.6,2.746,2.7185,Smelt
18,9.3,13.8,10.2,2.9282,2.4389,Smelt
13,10.6,9.2,14.1,1.7625,2.2845,Smelt
11,10.4,14.2,11,2.3498,2.2637,Smelt
10,11.3,13.9,13.8,2.4734,2.4645,Smelt
15,13.7,12.2,12.2,1.8122,2.6469,Smelt
6,13.5,10.8,10.6,2.5604,2.0243,Smelt
8,11.3,10.2,14.3,1.0024,2.8955,Smelt
20,9.6,12.8,16,1.421,2.7987,Smelt
19,12.8,12,14.6,2.3212,2.0572,Smelt
6,12.3,12.5,11.4,1.8227,2.1869,Smelt
18,9.6,9.6,12.7,2.0219,2.543,Smelt
8,10.9,11.1,16,1.822,2.0557,Smelt
13,10.7,11.8,13.4,2.7866,2.2409,Smelt
18,14,14.1,10.8,1.0296,2.8975,Smelt
17,12,14.3,11.1,2.8066,2.5496,Smelt
10,11.1,10.8,13.4,2.2978,2.1785,Smelt
15,12,12.4,10.7,2.1225,2.7652,Smelt
6,12.4,11,15.6,1.156,2.3961,Smelt
17,10.7,14.4,13.5,2.1935,2.1163,Smelt
6,13,12.8,15.1,1.3851,2.9044,Smelt
13,10.4,11.7,14.5,2.7681,2.3687,Smelt
15,9.1,9.8,14,2.2881,2.4851,Smelt
8,11,12.1,10.3,1.1119,2.4198,Smelt
14,10.6,13,13.3,1.0364,2.4922,Smelt
17,11,14.6,15.8,1.3719,2.5157,Smelt
19,10,14.5,13.5,2.273,2.544,Smelt
15,12.4,10.3,12.5,2.4863,2.5922,Smelt
13,13.8,13.2,15.6,1.5416,2.3768,Smelt
7,11,9.9,15.9,2.0651,2.9867,Smelt
14,12.2,9,10.4,2.4407,2.143,Smelt
13,10.9,12.5,11.4,1.8689,2.3363,Smelt
9,12.4,9.5,12.8,2.1018,2.4158,Smelt
16,12.4,9.6,14.8,1.0161,2.1745,Smelt
13,10.7,11.7,13.9,2.0453,2.2866,Smelt
11,13.2,14.9,14.8,2.9314,2.4665,Smelt
20,9.5,13.7,15.2,2.0999,2.7571,Smelt
10,9.1,9.3,15.9,1.3278,2.6418,Smelt
7,13.8,14.5,13.1,1.4484,2.203,Smelt
7,12.1,9.7,11.2,1.1905,2.4547,Smelt
9,10.1,14.3,15.9,2.3258,2.1752,Smelt
11,10.4,11.5,13.8,1.8919,2.3273,Smelt
7,10.7,13.5,11,2.4812,2.2503,Smelt
12,9.2,15,10.1,2.3979,2.2168,Smelt
16,9.1,13.5,12.2,1.9725,2.9048,Smelt
7,9.7,12.5,13.2,2.0411,2.0946,Smelt
14,11.4,12.2,10.8,2.1297,2.8864,Smelt
13,13.7,9.6,13.1,2.902,2.732,Smelt
16,9.5,13.1,13.1,2.7872,2.6943,Smelt
14,12.5,13.8,10.7,1.2595,2.2118,Smelt
13,9.5,10.7,15,2.9024,2.4641,Smelt
6,13.9,10.7,15,2.2508,2.0765,Smelt
20,12.9,12.3,11.1,1.7959,2.2035,Smelt
16,13.7,10.5,12.5,2.2503,2.5839,Smelt
7,9.4,10.6,10.5,1.2435,2.4129,Smelt
19,10.7,9.7,11.9,1.4299,2.5807,Smelt
7,11.5,14.8,12,2.0914,2.6344,Smelt
17,13.5,9.6,14.1,1.2062,2.917,Smelt
8,9.5,10,13.6,1.0736,2.2006,Smelt
17,13,13.8,12.7,1.6537,2.8458,Smelt
9,11.4,14.4,12.4,2.9047,2.5882,Smelt
18,10.6,11.7,13.6,1.0918,2.5891,Smelt
14,11.3,12.2,13.1,2.3684,2.0536,Smelt
15,10.1,13.7,15.1,2.9135,2.4875,Smelt
15,9.2,12,10.5,1.0891,2.4485,Smelt
11,10.4,10.1,12.7,2.6998,2.0474,Smelt
12,11,12.4,12.7,2.7826,2.7016,Smelt
7,9.2,13.2,15.9,1.4818,2.8917,Smelt
15,10.1,14.1,12.2,2.7843,2.673,Smelt
20,9.4,14.2,11.3,1.7799,2.1249,Smelt
15,12,11.9,13.5,2.4677,2.1678,Smelt
17,12.1,12.2,13.9,2.1543,2.0265,Smelt
11,13.8,12.9,14.4,2.764,2.3648,Smelt
8,11.4,10.9,10.6,2.2708,2.7311,Smelt
7,10.1,13,11.9,1.4093,2.9107,Smelt
16,12.1,11.5,11.6,2.2025,2.1287,Smelt
20,12,9.5,10.7,1.1282,2.4267,Smelt
10,12.7,12.4,14.3,2.0937,2.5238,Smelt
12,9.6,9.8,12.2,1.8748,2.1067,Smelt
10,11.5,10.8,13.7,2.8986,2.2158,Smelt
17,11.7,14.8,13.7,1.6524,2.4244,Smelt
6,9.4,10.1,12.4,2.9563,2.2108,Smelt
20,11.5,12.9,14.4,1.7775,2.1199,Smelt
9,13.4,12.6,15.2,1.6693,2.3356,Smelt
20,11.7,9.9,13.6,2.3993,2.3253,Smelt
14,11.4,11.3,10.2,2.1777,2.7566,Smelt
19,11.9,12.7,14.9,1.7172,2.0971,Smelt
12,11,13.5,13.6,1.5721,2.9122,Smelt
19,13.5,10.2,14.5,2.6949,2.4225,Smelt
17,12.2,9.7,10.6,2.7688,2.9051,Smelt
8,12.8,10.7,10.7,1.7811,2.4678,Smelt
19,11.1,10.4,13.8,1.2491,2.1683,Smelt
15,11.6,14,10.8,2.1981,2.3996,Smelt
16,10.4,13.5,15.8,1.9372,2.7896,Smelt
13,13.5,12.6,10.7,2.1356,2.7113,Smelt
8,12.8,13.9,10.8,2.1896,2.6979,Smelt
19,10.2,10.7,10.1,2.7015,2.9521,Smelt
9,12.5,12.2,15.4,1.6076,2.3674,Smelt
20,9.2,9.1,10.6,2.3288,2.6694,Smelt
7,12.1,13,14.4,1.5428,2.4169,Smelt
19,9.6,14.9,10.1,2.6725,2.7455,Smelt
15,13.3,13.5,15.4,1.4776,2.2441,Smelt
12,13.3,11.5,13,1.9122,2.5794,Smelt
13,13.6,13,11,1.4868,2.1051,Smelt
15,10.6,10.6,12.6,1.8659,2.9363,Smelt
19,10.5,11.8,10.8,1.4558,2.5942,Smelt
10,9.5,13.6,15.4,2.8564,2.174,Smelt
16,12.5,14,12.8,2.6272,2.9582,Smelt
9,9.7,11.3,13.9,2.0193,2.8779,Smelt
10,9.8,9.1,12.5,2.019,2.3038,Smelt
15,13.2,12.1,10.3,1.2276,2.1021,Smelt
9,13.4,13.3,10.7,2.6682,2.5506,Smelt
16,10.3,12.4,13.2,1.5419,2.8056,Smelt
9,10.5,10.8,10.2,1.0247,2.6405,Smelt
20,13,12.3,15.2,1.4785,2.0976,Smelt
20,13.8,12,11.7,1.2548,2.9009,Smelt
7,13.1,10.4,15.4,1.1896,2.3143,Smelt
18,9.5,9.8,10.8,2.6811,2.6362,Smelt
14,13.5,11.9,12.2,2.6153,2.5666,Smelt
9,10.3,10.2,11.6,2.729,2.5725,Smelt
8,11.8,9.9,10.1,1.182,2.4442,Smelt
15,13.9,10.2,11.5,1.798,2.259,Smelt
12,11.1,11.6,12.4,1.2317,2.1569,Smelt
18,9.3,10.4,10.6,1.9574,2.1819,Smelt
9,12.5,12.5,13.3,1.3546,2.1553,Smelt
6,12,14,11.3,1.8639,2.7556,Smelt
13,9.5,9.5,11.4,1.941,2.5212,Smelt
7,13,9.4,10.2,2.9747,2.1776,Smelt
11,13.1,12.8,12.9,1.2107,2.0076,Smelt
8,9.5,12.6,11.3,2.9018,2.2066,Smelt
6,10.7,13,11.3,2.0556,2.4641,Smelt
6,11.2,12.8,13.2,1.3641,2.9879,Smelt
10,9.6,14,10,1.9855,2.5666,Smelt
11,9.2,10.1,10.4,1.7765,2.4576,Smelt
15,11.7,13.2,11.2,1.5321,2.8323,Smelt
14,9.5,9.3,15.7,2.3564,2.9136,Smelt
19,11,9.9,15.7,1.4115,2.0538,Smelt
12,9,14.7,14,1.686,2.3376,Smelt
18,13.8,10.1,12.1,2.9571,2.7037,Smelt
7,9.9,10.9,14.6,2.9233,2.6303,Smelt
14,9.8,14.8,15.1,1.7747,2.8254,Smelt
18,11.7,12.5,11.7,2.1721,2.0963,Smelt
20,12.2,9.9,15.6,2.2375,2.6021,Smelt
17,11.8,13.4,12.6,2.1688,2.8474,Smelt
11,12.3,11,12.6,2.1563,2.9585,Smelt
11,13.8,10.1,12.4,1.491,2.4855,Smelt
20,12.1,14.2,11.9,1.8791,2.7198,Smelt
16,9.7,9.8,13.9,2.4573,2.4542,Smelt
20,13.3,10.7,14.4,1.867,2.1521,Smelt
16,9.8,13.6,15.2,2.2691,2.7622,Smelt
18,11.9,12.7,11.4,2.8599,2.7568,Smelt
17,10.3,12.9,12.8,2.0241,2.1707,Smelt
13,13.3,10,15.5,1.5921,2.755,Smelt
11,9,13,10.4,1.7914,2.8618,Smelt
11,12.7,14.8,10.7,2.1657,2.7371,Smelt
17,10.6,13.9,10.4,1.2651,2.5838,Smelt
11,13.2,12.8,11.2,1.7333,2.6302,Smelt
16,9,10.1,13.3,1.3271,2.2936,Smelt
15,10,13.5,11.1,2.0904,2.7229,Smelt
15,10.1,14.8,11.1,1.0685,2.0748,Smelt
12,11.3,11.6,10.6,2.332,2.9725,Smelt
19,9.7,12.7,12.3,1.9403,2.5208,Smelt
17,10,13.8,12.6,2.1212,2.1532,Smelt
18,11,11.6,15,2.1515,2.7197,Smelt
14,11.4,11.5,13.5,2.8741,2.3746,Smelt
9,10.5,11.1,10.2,2.7908,2.8108,Smelt
6,10.7,14.8,10.7,2.8467,2.7178,Smelt
11,12.1,13.2,13.4,2.8507,2.6368,Smelt
12,13.5,12,10.2,1.3512,2.6375,Smelt
18,11.2,12,10.9,1.2587,2.1287,Smelt
20,11,11.5,15.3,1.5785,2.0963,Smelt
11,12.3,12.4,12.1,2.2345,2.0042,Smelt
20,9.8,10.2,12.8,1.7641,2.0194,Smelt
12,10.6,9.9,10.1,1.7932,2.9221,Smelt
17,12.8,9.6,14.4,1.5293,2.7593,Smelt
18,12.2,11.4,13.3,1.4773,2.3137,Smelt
20,13.2,13.4,14.7,1.3197,2.3237,Smelt
17,9.7,14.4,13.8,1.3341,2.8904,Smelt
6,9.9,14.5,14.7,1.7879,2.6749,Smelt
7,10.6,11.2,13.1,1.1001,2.7118,Smelt
16,13.4,11,15,1.6573,2.0527,Smelt
19,13.8,10.3,14.8,2.2309,2.4598,Smelt
12,12.8,13,16,2.4801,2.3094,Smelt
7,9.4,14,10.6,1.39,2.9722,Smelt
17,12.9,12.8,13.9,2.5098,2.0709,Smelt
20,13.5,12.5,13.9,1.5727,2.0586,Smelt
12,10.8,13.3,10.7,1.7859,2.0852,Smelt
9,11.1,10.5,14.6,2.4713,2.4826,Smelt
19,11.5,11.5,11.9,1.0459,2.1535,Smelt
8,12.3,10.4,13.2,1.5648,2.5378,Smelt
10,12.3,12.2,12.1,2.8315,2.8357,Smelt
16,13.5,13.6,15.7,1.1657,2.7057,Smelt
19,12,14.3,14,2.0367,2.5842,Smelt
6,11.1,9.7,12.6,2.6248,2.9356,Smelt
17,9.7,11.9,13.9,2.8956,2.5795,Smelt
17,12,14.1,10.4,2.6196,2.4717,Smelt
16,10.7,11.9,14.3,2.314,2.6904,Smelt
20,10.2,12.3,13,1.8281,2.5748,Smelt
12,11.3,13.3,15.6,2.6563,2.0302,Smelt
19,9.9,11.2,15.8,1.6542,2.3601,Smelt
14,9.8,14.7,11.1,1.9038,2.1473,Smelt
19,13.6,11.7,10.1,2.3498,2.4443,Smelt
6,10.7,12.3,12.5,2.6314,2.2402,Smelt
17,12.7,14.2,14.2,1.1151,2.4514,Smelt
8,13.5,14.6,14.5,1.8454,2.2379,Smelt
20,13,11.7,11.4,1.863,2.6088,Smelt
13,10.9,11.3,14.9,2.6467,2.2558,Smelt
19,13.6,11.6,14.6,2.6625,2.9947,Smelt
16,13.1,13.2,12.2,1.9215,2.5897,Smelt
9,9.2,9.5,14.3,2.2416,2.8529,Smelt
8,13.1,9.2,10.1,2.5869,2.0455,Smelt
15,13.1,9.1,12.4,1.3026,2.7654,Smelt
20,11.7,10.8,10.5,2.2611,2.2084,Smelt
15,11.4,11.6,11.5,1.7978,2.0111,Smelt
13,13.1,14,10.7,1.9373,2.6391,Smelt
18,10.9,14.5,15.7,1.5179,2.6441,Smelt
18,9.9,13.1,10.6,2.7161,2.2114,Smelt
13,13,9,13.7,1.5225,2.8691,Smelt
11,9.8,9.4,12,1.3433,2.8354,Smelt
19,13.7,12.6,14.2,2.0761,2.7421,Smelt
16,9.5,10.4,12.8,1.4908,2.7294,Smelt
16,11.1,12.3,14.8,2.0169,2.2883,Smelt
12,11.3,11.7,13.1,2.8521,2.8053,Smelt
19,12.8,13.6,11.2,1.4205,2.0782,Smelt
20,10.6,11.4,13.5,1.8037,2.0749,Smelt
12,12,11.9,12.7,1.1051,2.1221,Smelt
9,13.3,9.3,15.9,2.5725,2.4798,Smelt
15,11.1,9.2,11.3,2.9443,2.1849,Smelt
18,13.1,11.5,10.1,1.3028,2.6138,Smelt
13,11.5,11.6,13.6,1.9254,2.6788,Smelt
11,10.2,10.4,13.6,2.1641,2.7359,Smelt
8,10.8,11.6,12.1,2.5967,2.4722,Smelt
9,13.9,12.2,11.3,1.3424,2.5614,Smelt
6,11,9.8,15.3,2.3358,2.8554,Smelt
10,10.7,10.5,12.9,1.5282,2.0652,Smelt
17,9.1,13.3,13.4,1.684,2.8634,Smelt
14,9.9,9.2,15,2.4359,2.7193,Smelt
14,13,9.6,10.9,1.325,2.3895,Smelt
10,11.4,11.9,15.1,2.324,2.2967,Smelt
10,10.6,13.8,15.6,1.7142,2.0763,Smelt
11,11.9,10.1,15.9,1.0822,2.651,Smelt
19,9.2,10.6,11.9,2.6267,2.2473,Smelt
6,10.3,12.7,15.9,2.4497,2.4119,Smelt
15,9.2,12.8,12.2,2.2419,2.4069,Smelt
7,11.3,9.6,10.2,2.7438,2.1849,Smelt
18,12,12.9,15.9,2.5144,2.5665,Smelt
9,9.6,9.4,11.3,1.0516,2.7265,Smelt
6,11.4,13.1,12.8,2.2852,2.138,Smelt
6,11.8,9.4,15.2,2.1411,2.686,Smelt
20,13.5,10.9,13.3,1.6955,2.4223,Smelt
7,9.7,9.9,13,2.9186,2.5689,Smelt
9,9.3,13.4,12.5,1.1585,2.8229,Smelt
11,9.8,9.8,11.4,2.745,2.1639,Smelt
17,10.2,13.9,10.6,1.8452,2.2744,Smelt
16,11.9,9.1,15.6,1.4753,2.6249,Smelt
11,10.7,12.5,15.1,1.2835,2.2536,Smelt
16,11.5,12.1,13.1,2.9467,2.1881,Smelt
12,13,11.3,11.3,2.8786,2.635,Smelt
8,13,12.6,10.4,2.632,2.5046,Smelt
16,13.8,10.9,15.4,1.1766,2.2353,Smelt
10,13.9,12.5,11.4,2.9742,2.2493,Smelt
6,10.5,12.2,14.6,2.2205,2.7322,Smelt
7,12.1,9.3,14.9,1.4599,2.3141,Smelt
7,10.3,13.3,15.1,2.2213,2.7933,Smelt
8,12.3,10,15,1.6879,2.0485,Smelt
9,9.5,12.6,14.7,2.8988,2.7289,Smelt
